Date	Hour_string	UserId	Group	LearningObjective	Correct	Progress	Color
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	1	25	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Gehele getallen plaatsen op getallenlijn	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40268	Getallen	Schatten door afronden	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Schatten door afronden	1	9	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	1	19	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40273	Getallen	Schatten door afronden	0	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Gehele getallen plaatsen op getallenlijn	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40274	Getallen	Optellen en aftrekken tot ±1000	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	68421	Getallen	Optellen en aftrekken tot ±1000	0	-5	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Gehele getallen plaatsen op getallenlijn	1	3	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Schatten door afronden	1	3	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40268	Getallen	Schatten door afronden	1	41	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40276	Getallen	Schatten door afronden	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40286	Getallen	Optellen en aftrekken tot ±1000	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Gehele getallen plaatsen op getallenlijn	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	1	11	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40273	Getallen	Schatten door afronden	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40277	Getallen	Optellen en aftrekken tot ±1000	1	3	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40281	Getallen	Optellen en aftrekken tot ±1000	0	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Gehele getallen plaatsen op getallenlijn	1	3	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	68421	Getallen	Optellen en aftrekken tot ±1000	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40268	Getallen	Schatten door afronden	1	28	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40274	Getallen	Optellen en aftrekken tot ±1000	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Schatten door afronden	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40276	Getallen	Schatten door afronden	0	-54	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Gehele getallen plaatsen op getallenlijn	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40282	Getallen	Optellen en aftrekken tot ±1000	1	3	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	0	-26	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40275	Getallen	Schatten door afronden	1	58	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Gehele getallen plaatsen op getallenlijn	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Gehele getallen plaatsen op getallenlijn	1	1	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40274	Getallen	Optellen en aftrekken tot ±1000	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40268	Getallen	Schatten door afronden	1	22	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40286	Getallen	Optellen en aftrekken tot ±1000	1	1	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
